x,y,name
39.0820707047546,-7.00257994535664,Chanika
39.0889657237179,-6.79431689774368,sjcet bus stop
39.1120665300697,-6.78627770994892,mbezi luis bus stand
39.1121786398172,-6.78628734378148,mbezi luis bus stand
39.112271435786,-6.78626754090325,mbezi luis bus stand
39.1123590215262,-6.78624782722638,mbezi luis bus stand
39.1320712927948,-6.7902897385152,Mbezi kwa Msuguri
39.1322858104847,-6.79026315649411,Mbezi kwa Msuguri
39.1498217333144,-6.84070943646023,Tabata Kinyerezi
39.149958007743,-6.84069766311219,Kinyerezi
39.1568640759843,-6.88211013248354,Gongo La Mboto
39.1589258892244,-6.81995872807996,Bonyokwa
39.1669345496454,-6.82664079221522,Bonyokwa
39.1669930299704,-6.78893307234919,Kimara Mwisho
39.1674531470589,-6.78762367937078,Kimara Mwisho
39.1681622771442,-6.91001408976409,Moshi Bar
39.1707913764862,-6.8766487236458,Mombasa Bus Stand
39.1798312130219,-6.93960178102173,Kivule Ccm Bus Stand
39.1836750142911,-6.9037114987608,Machimbo Bus Stand
39.1837845189242,-6.90365032113271,Machimbo
39.1839346274082,-6.65798446212372,Tegeta
39.1857352105637,-6.8431092311742,Tabata Segerea Bus Stand
39.1894424679097,-6.87146248094544,Banana Bus Stand
39.1927799786848,-6.86778469236099,Majumba Sita
39.1985723156368,-6.89989849433885,Kitunda Bus Stand
39.2012263881437,-6.94043742448111,Magole Bus Stand
39.2025285859796,-6.82801385274925,TABATA KIMANGA
39.2037439167275,-6.92055074124875,Kibeberu Bus Stand
39.2048164153452,-6.67637558601771,
39.2049208894127,-6.67652637176815,
39.2066757483203,-6.79214307265356,Ubungo Terminal Bus Stop (City buses)
39.2085072335215,-6.78966202777947,Darajani
39.2094151607792,-6.70972165890025,
39.210908430276,-6.84155417342383,Barakuda
39.2136800922536,-6.91234986093184,Mwanagati Bus Stand
39.2143680220982,-6.85940978444735,
39.2154737583814,-6.78797067465507,Sinza Bus Stand
39.2155556847353,-6.76760341239473,
39.2161748934607,-6.78820474022742,Mawasiliano Bus Stand
39.2172823365429,-6.73784966096892,
39.2191567612148,-6.74566395459006,
39.2197863903974,-6.79657723725244,Mwanza Buses (national travel)
39.2202789366677,-6.74827029689014,
39.2203176540564,-6.90545166900042,Kinyantira Bus Stand
39.2211390735522,-6.83053198236951,Tabata Bima
39.2214331819762,-6.73623743539158,Kawe
39.2231426759619,-6.75366974136519,
39.2234688542416,-6.78073938396276,Makaburi
39.2243483049048,-6.87505952812122,Lumo Corner
39.2258551389623,-6.8923330373933,Buza
39.2269415614669,-6.7785459619841,Kwa Remy
39.2271944372194,-6.73747006761375,Kanisani
39.2273110385433,-6.77873864169077,Sinza Mori
39.2284278241045,-6.88042401159172,Mwisho Wa Lami
39.2286581521434,-6.77778951498354,Sinza Mori
39.2289533385457,-6.85224628604765,
39.2291231201344,-6.85239113037965,
39.2292281331911,-6.763224110776,
39.2293484176077,-6.76493009130098,Mwenge Terminal Bus Stop
39.2295733557548,-6.76439976072789,Mwenge
39.2296018323493,-6.76495399853597,Mwenge Bus Stop
39.2304819118332,-6.73991301998111,Kwa Josephu
39.2307717083438,-6.77544568139339,Shule
39.2309504730854,-6.74014113172511,Kawe
39.2328018110544,-6.76715292385857,ITV
39.2328500505852,-6.74087542421677,Mskitini
39.2332715401165,-6.7743589951001,Afrika Sanaa
39.2334035924633,-6.76739895309535,ITV bus stop
39.2334134739314,-6.76731278043277,ITV
39.233679285424,-6.77424178055639,Afrika Sanaa
39.2357628378939,-6.80053111102741,Midizini -Manzese Bus Stand
39.2368466552842,-6.77033853782741,
39.2369466377754,-6.84825841176567,vingunguti
39.2378983129874,-6.77087956647788,Bamaga Bus Stop
39.2381448107013,-6.77106306113552,
39.239136550775,-6.80975835496062,Madoto Bus Stop
39.2410308282146,-6.77361993640859,Sayansi (Science)
39.2414187207543,-6.77363465515036,Science Bus Stop
39.2438170428998,-6.84475276161179,Tazara
39.2442803939234,-6.83731718396035,buguruni bus stand
39.2451918246106,-6.84432856772356,Tazara
39.2456757470542,-6.80358208140134,Midizini -Manzese Bus Stand
39.2458052841182,-6.77626216637258,Makumbusho
39.2459541349607,-6.83570225887977,Buguruni
39.2460350731678,-6.83573543866129,Rosana- Buguruni Bus Stand
39.2466885077055,-6.75576925134585,Warioba
39.2467412388127,-6.77827772672716,Makumbusho
39.247047474493,-6.75584258014671,Warioba
39.2474417450713,-6.83322438272039,Rosana- Buguruni Bus Stand
39.2521134337063,-6.76051561792264,Mwalimu (Nyerere)
39.2525656456203,-6.7785775400524,Victoria
39.2526398464628,-6.7607195448941,Mwalimu
39.2542235763087,-6.81584062493729,Njia Panda Kigogo
39.255021280281,-6.80624127295965,Usalama
39.2551470444208,-6.81732726345055,Njia Panda Kigogo
39.2563507869015,-6.8385966509946,
39.2564589440617,-6.80709347419536,Usalama
39.2576269335941,-6.79192399478317,Komakoma Bus Stop
39.2582292539921,-6.80666737376662,Magomeni
39.2593128917194,-6.8081055169464,Mapipa
39.2599856400356,-6.93021645164599,Nzasa
39.2601925220456,-6.80407865166641,Morocoo Hoteli
39.2603030148255,-6.7663812940033,
39.2607562148864,-6.86785818241303,Tandika
39.2621487832398,-6.86874737546827,Tandika
39.2630115252387,-6.76924381155373,Kisiwani (Shoppers)
39.2630926431088,-6.86268495447354,Tandika
39.2633790260214,-6.769315711025,Kisiwani
39.2634553828206,-6.77854587278051,Morroco Bus Stop
39.2638329447345,-6.78227929599426,Kanisani
39.264076478008,-6.77148919308783,Drive In (Drai)
39.2643017754813,-6.77142523317675,Drai
39.2643875645909,-6.77304465626439,Ubalozi
39.2644304142299,-6.77740201384329,Morocco
39.2644733537005,-6.77282093106724,Ubalozi
39.2648488494893,-6.77710371625247,Morocco
39.2660490885404,-6.86477444445424,Temeke Mwisho
39.2673916207325,-6.81103513051963,Jangwani
39.2679266573157,-6.84491473293812,Maduka Mawili (posta)
39.2681962417325,-6.81099258328209,Jangwani
39.2694420253685,-6.76844551261031,Macho
39.2696781924567,-6.76846692191867,Macho (CCBRT)
39.2702489819882,-6.91733464978565,Mbagala Rangi 3
39.2702896756706,-6.77657455870844,Namanga
39.2704076244674,-6.76186139161341,Shule
39.270504283192,-6.76208503268223,
39.2721988651439,-6.81907979088797,kariakoo bus stand
39.2722410859623,-6.77979927073424,Mbuyuni
39.2728578692364,-6.82001572425584,Kariakoo Bus Stop
39.2732281547965,-6.7801401166285,Mbuyuni
39.2736191914397,-6.8248460140224,Shule Ya Uhuru
39.2737698389128,-6.82409579438679,Buses going south
39.2738057715242,-6.80629461362983,muhimbili bus stand
39.2743880594913,-6.82738155324345,UDA Bus Terminal
39.2748823125607,-6.76810171467006,
39.2749125857857,-6.81367715494171,Fire Bus Stop
39.2749708864477,-6.76814569298795,
39.2758244656306,-6.80813753906455,Super
39.2758737831397,-6.75482106077739,Balesa
39.2772708430696,-6.82666719383208,
39.2776893681605,-6.82682694142194,
39.2777569214699,-6.76143516195828,
39.277914036813,-6.78639563518222,
39.278356546922,-6.78804515818606,Ubalozi
39.2785937919885,-6.77544523537259,Shule
39.2796439225557,-6.79854953981233,Lugalo
39.2799133273094,-6.74126357911075,Masaki
39.2801095193674,-6.74153468964181,
39.2802213596203,-6.81846442685883,Baridi
39.280441626528,-6.79818872616839,Lugalo
39.2804808829059,-6.7929990453307,Selander Bridge
39.2804929203307,-6.74225595532122,Masaki Mwisho
39.2805109764679,-6.82142599836644,Mnazi Mmoja
39.2806504848315,-6.82122352425379,Mnazi Mmoja
39.2807268416307,-6.82136552372854,Mnazi Mmoja
39.2822730218977,-6.81633049277218,kilimanjaro express
39.282626508962,-6.79936982119485,Palm Beach
39.2830878836919,-6.95427709079969,kongowe
39.283184452585,-6.79957221533105,Palm Beach
39.2837951273151,-6.80045868101931,Makumbusho Bus Stop
39.2845911244884,-6.75905922358584,Mawenzi
39.2850400126358,-6.82193048855851,Stesheni
39.2853313362825,-6.8221356382371,Stesheni
39.2861670389913,-6.80519729316464,Aga Khan
39.2867786120367,-6.80822272324029,Red Cross
39.2876155723869,-6.81442596374022,Posta Bus Stop
39.2883186837598,-6.81519617859815,posta bus stand
39.2894268454943,-6.81850322719419,
39.2903727714885,-6.81841768805986,
39.2979909342555,-6.81993348563996,Kivukoni
39.3033016843837,-6.82375596082769,Kigamboni
39.3033435458759,-6.82410587343617,Kigamboni Bus Stand
39.3098782505787,-6.86995924392846,Vijibweni Bus Stand
39.32208518748,-6.86349915028995,Kisiwani
39.3391101485762,-6.891757543322,Kibada
39.3479427437757,-6.86979505145145,Mbuyuni kwa Wakorea Bus Stop
39.3537265467325,-6.8629108674188,Ungindoni
39.3538191630383,-6.86274265905365,Ungindoni Bus Stop
39.3555586607545,-6.85047247455122,Mjimwema Bus Stop
39.3767933069351,-6.86878394204779,Kibugumo Bus Stop
39.3987711293503,-6.86991081562636,
39.4829288085962,-6.91310324098458,Kichangani Bus Stand
39.4829538715926,-6.91289625778246,Mbutu Bus Stand
39.5290135504814,-6.98946036766982,Kimbiji Bus Station
